Word,Count
{3},1
If,1
interactable,1
temp,1
DataWatcher.AddData(gameObject);,1
Direction.Right:,1
position.width);,1
characterActor.movementStateMachine.SetState(characterActor.fallMovementState);,1
==,1
int,1
box,1
making,1
float,1
};,1
doing,1
around,1
\issues,\,1
downForce,1
characterActor.inputAxis,1
\Actor"\)]\,1
owner.moveSpeed,1
with:,1
Item,1
Plz,1
Vector2,1
collision.transform.root.GetComponentInParent<Rigidbody2D>().name));,1
if(interactable),1
stateMachine.OnPushState,1
Get,1
editor,1
inspectorNoteStyle.customStyles[1].CalcHeight(new,1
monobehaviour,1
gaps,1
usage:,1
methods,1
ActionQueue();,1
but,1
\otherCollider.transform.root.name,\,1
Direction.Down:,1
\Vector2(Input.GetAxisRaw("\Horizontal"\),\,1
composite,1
stuck,1
collision.transform.root.GetComponent<Interactable>();,1
color,1
walking,1
It,1
Vector2.down,1
found,1
stateMachine.SetOwner(this);,1
ActorBrain<T>,1
\[InspectorNote("\Level\,1
coroutine,1
Specs,1
FixedUpdateGravity();,1
name,1
(Might,1
get,1
seems,1
header,1
now,1
OnCollisionEnter2D(Collision2D,1
actions.AddAction(MyCoroutine());,1
otherCollider.bounds.min.x,1
otherCharacterActor.statusStateMachine.SetState(otherCharacterActor.deadStatusState);,1
Debug,1
actions,1
\Vector2(thisRigidbody2D.velocity.x,\,1
better,1
stateMachine;,1
switch(direction),1
{2}:,1
bunch,1
LevelItemBrain,1
Destroy(otherCharacterActor.gameObject);,1
will,1
ActorBrain<LevelItemActor>,1
default:,1
\runner,\,1
instead,1
Runtime,1
moveDirection;,1
Can,1
\GUIContent(note.Message),\,1
Interactable,1
\collider.transform.root.name,\,1
\Debug.Log(string.Format("\State\,1
Rect,1
too,1
exit,1
Mathf.Abs(collider.bounds.min.y,1
outside,1
downForce;,1
type:,1
type.Name));,1
bug,1
reason,1
thisRigidbody.velocity.y,1
through,1
field,1
Time.fixedDeltaTime,1
so,1
\machine"\);\,1
otherCollider.bounds.min.x),1
(Without,1
this?),1
don't,1
small,1
collider.bounds.max.x,1
temp.SetState(twoBaseState);,1
messageHeight,1
\if(Utilities.CheckOtherColliderDirection2D(Direction.Left,\,1
scripts,1
0f;,1
boxCastMask);,1
headerHeight;,1
in,1
otherCollider.bounds.min.y,1
Dummy,1
by,1
\//Debug.Log(string.Format("\Collided\,1
characterActor.isJumping,1
collision.collider.name));,1
something.</returns>,1
For,1
collider.bounds.max.y,1
(collider.bounds.max.y,1
\characterActor.name,\,1
order,1
State,1
screw,1
\"\&&"\\,1
otherCollider.bounds.max.y,1
And,1
otherCollider.bounds.min.y),1
posLine,1
posLine.y,1
{1}'s,1
IsColliding(Direction.Down),1
position;,1
\Debug.Log(string.Format("\Getting\,1
if(!IsColliding(Direction.Down),1
all,1
optimized,1
loop),1
otherCharacterActor.transform.position.x));,1
0f),1
LevelItemActor,1
gravity;,1
if(otherCharacterActor.formStateMachine.currentState,1
interactor.GetComponent<CharacterActor>();,1
easily,1
U,1
\Debug.Log(string.Format("\Mario\,1
cache,1
GUI.color;,1
was,1
Input.GetKey(KeyCode.Space);,1
Unity,1
otherCharacterActor.smallFormState),1
collider.bounds.min.y,1
Direction.Left:,1
very,1
{0},1
actions.Start();,1
characterActor.movementStateMachine.PushState(characterActor.bounceMovementState);,1
runner,1
\Input.GetAxisRaw("\Vertical"\));\,1
OnTriggerExit2D(Collider2D,1
interacted,1
otherCharacterActor.SetForm(otherCharacterActor.smallFormState);,1
having,1
false;,1
HOTFIX,1
<returns>The,1
maxDistanceDelta).ToString()));,1
collider.bounds.min.x,1
headache,1
OnTriggerEnter2D(Collider2D,1
abstract,1
stateMachine.stateCount));,1
posLine.x,1
\"\"\);\,1
set,1
Investigate,1
This,1
faded;,1
below:,1
Mathf.Abs(collider.bounds.max.x,1
\Debug.Log("\Interact"\);\,1
\Debug.Log(string.Format("\Comparison:\,1
always,1
,1
